,Finish,Team,Age,Sex,Year,og_name,Squad,Club,Tie
243,76,MARIN WATER POLO CLUB,16,Girls,2013,MARIN WATER POLO CLUB B,B,MARIN,0.0
244,77,RIPON AQUATIC,16,Girls,2013,RIPON AQUATICS,A,RIPON,0.0
245,78,MODESTOSTANISLAU WATER POLO,16,Girls,2013,MODESTO/STANISLAUS WATER POLO,A,MODESTOSTANISLAU,0.0
246,79,PACIFIC POLO,16,Girls,2013,PACIFIC POLO,A,PACIFIC,0.0
247,80,PUGET SOUND POLO,16,Girls,2013,PUGET SOUND POLO,A,PUGET SOUND,0.0
0,1,SOCAL,12,Boys,2012,SOCAL BLACK,A,SOCAL,0.0
1,1,SD SHORE,14,Boys,2012,SD SHORES,A,SD SHORE,0.0
2,1,LAWPC,16,Boys,2012,LAWPC RED,A,LAWPC,0.0
3,1,LAMORINDA,18,Boys,2012,LAMORINDA A,A,LAMORINDA,0.0
4,1,BRUIN,21,Men,2012,BRUIN,A,BRUIN,0.0
5,2,UNITED,12,Boys,2012,UNITED BLUE,A,UNITED,0.0
6,2,680,14,Boys,2012,680 A,A,680,0.0
7,2,SOCAL,16,Boys,2012,SOCAL BLACK,A,SOCAL,0.0
8,2,SET,18,Boys,2012,SET,A,SET,0.0
9,2,LAMORINDA,21,Men,2012,LAMORINDA BLUE,A,LAMORINDA,0.0
10,3,HUNTINGTON BEACH,12,Boys,2012,HUNTINGTON BEACH,A,HUNTINGTON BEACH,0.0
11,3,SOCAL,14,Boys,2012,SOCAL BLACK,A,SOCAL,0.0
12,3,FOOTHILL,16,Boys,2012,FOOTHILL RED,A,FOOTHILL,0.0
13,3,NEWPORT BEACH INC,18,Boys,2012,NEWPORT BEACH INC.,A,NEWPORT BEACH,0.0
14,3,SHARK,21,Men,2012,SHARKS,A,SHARK,0.0
15,4,SHAQ,12,Boys,2012,SHAQ,A,SHAQ,0.0
16,4,LAMORINDA,14,Boys,2012,LAMORINDA A,A,LAMORINDA,0.0
17,4,DEL MAR WPC,16,Boys,2012,DEL MAR WPC,A,DEL MAR,0.0
18,4,FOOTHILL,18,Boys,2012,FOOTHILL RED,A,FOOTHILL,0.0
19,4,SD SHORE,21,Men,2012,SD SHORES,A,SD SHORE,0.0
20,5,NORTHWOOD,12,Boys,2012,NORTHWOOD,A,NORTHWOOD,0.0
21,5,INTERNATIONAL,14,Boys,2012,INTERNATIONAL RED,A,INTERNATIONAL,0.0
22,5,ROSE BOWL,16,Boys,2012,ROSE BOWL RED,A,ROSE BOWL,0.0
23,5,SOCAL,18,Boys,2012,SOCAL BLACK,A,SOCAL,0.0
24,5,DAVI,21,Men,2012,DAVIS,A,DAVI,0.0
25,6,SANTA BARBARA,12,Boys,2012,SANTA BARBARA,A,SANTA BARBARA,0.0
26,6,FOOTHILL,14,Boys,2012,FOOTHILL RED,A,FOOTHILL,0.0
27,6,STANFORD,16,Boys,2012,STANFORD A,A,STANFORD,0.0
28,6,SANTA BARBARA,18,Boys,2012,SANTA BARBARA,A,SANTA BARBARA,0.0
29,6,NAVY,21,Men,2012,NAVY A,A,NAVY,0.0
30,7,COMMERCE,12,Boys,2012,COMMERCE,A,COMMERCE,0.0
31,7,HUNTINGTON BEACH,14,Boys,2012,HUNTINGTON BEACH BLUE,A,HUNTINGTON BEACH,0.0
32,7,ORANGECOUNTY WPC,16,Boys,2012,ORANGE COUNTY WPC,A,ORANGE COUNTY,0.0
33,7,STANFORD,18,Boys,2012,STANFORD A,A,STANFORD,0.0
34,7,LAMORINDA,21,Men,2012,LAMORINDA GOLD,A,LAMORINDA,0.0
35,8,SD SHORE,12,Boys,2012,SD SHORES,A,SD SHORE,0.0
36,8,GREENWICH AQUATIC,14,Boys,2012,GREENWICH AQUATICS,A,GREENWICH,0.0
37,8,SHORE AQUATIC,16,Boys,2012,SHORE AQUATICS,A,SHORE,0.0
38,8,DEL MAR,18,Boys,2012,DEL MAR,A,DEL MAR,0.0
39,8,NAVY,21,Men,2012,NAVY B,B,NAVY,0.0
40,9,LAGUNA BEACH WPC,12,Boys,2012,LAGUNA BEACH WPC,A,LAGUNA BEACH,0.0
41,9,LAWPC,14,Boys,2012,LAWPC RED,A,LAWPC,0.0
42,9,ELITE WPC,16,Boys,2012,ELITE WPC,A,ELITE,0.0
43,9,ROSE BOWL,18,Boys,2012,ROSE BOWL RED,A,ROSE BOWL,0.0
44,9,GOLDEN STATE AQUATIC,21,Men,2012,GOLDEN STATE AQUATICS,A,GOLDEN STATE,0.0
45,10,ROSE BOWL,12,Boys,2012,ROSE BOWL,A,ROSE BOWL,0.0
46,10,ORANGECOUNTY WPC,14,Boys,2012,ORAGNE COUNTY WPC,A,ORANGE COUNTY,0.0
47,10,SOUTH FLORIDA,16,Boys,2012,SOUTH FLORIDA,A,SOUTH FLORIDA,0.0
48,10,LAWPC,18,Boys,2012,LAWPC RED,A,LAWPC,0.0
49,10,SET,21,Men,2012,SET,A,SET,0.0
50,11,CHAWP,12,Boys,2012,CHAWP,A,CHAWP,0.0
51,11,UNITED,14,Boys,2012,UNITED BLUE,A,UNITED,0.0
52,11,SD SHORE,16,Boys,2012,SD SHORES A,A,SD SHORE,0.0
53,11,AMERICAN RIVER,18,Boys,2012,AMERICAN RIVER A,A,AMERICAN RIVER,0.0
54,11,SOUTH PASADENA,21,Men,2012,SOUTH PASADENA,A,SOUTH PASADENA,0.0
55,12,ORWP,12,Boys,2012,ORWP,A,ORWP,0.0
56,12,CAPO VALLEY ALLIANCE,14,Boys,2012,CAPO VALLEY ALLIANCE A,A,CAPO VALLEY ALLIANCE,0.0
57,12,CHAWPWHITE,16,Boys,2012,CHAWPWHITE,A,CHAWPWHITE,0.0
58,12,CLOVI WPC,18,Boys,2012,CLOVIS WPC,A,CLOVI,0.0
59,12,INTERNATIONAL,21,Men,2012,INTERNATIONAL,A,INTERNATIONAL,0.0
60,13,SOCAL,12,Boys,2012,SOCAL GOLD,A,SOCAL,0.0
61,13,STANFORD,14,Boys,2012,STANFORD A,A,STANFORD,0.0
62,13,SET,16,Boys,2012,SET,A,SET,0.0
63,13,STANTA CLARA,18,Boys,2012,STANTA CLARA A,A,STANTA CLARA,0.0
64,14,CAPO VALLEY ALLIANCE,12,Boys,2012,CAPO VALLEY ALLIANCE A,A,CAPO VALLEY ALLIANCE,0.0
65,14,ROSE BOWL,14,Boys,2012,ROSE BOWL,A,ROSE BOWL,0.0
66,14,UNITED,16,Boys,2012,UNITED BLUE,A,UNITED,0.0
67,14,CORONA DEL MAR,18,Boys,2012,CORONA DEL MAR,A,CORONA DEL MAR,0.0
68,15,LAMORINDA,12,Boys,2012,LAMORINDA A,A,LAMORINDA,0.0
69,15,NORTHWOOD,14,Boys,2012,NORTHWOOD,A,NORTHWOOD,0.0
70,15,SANTA BARBARA,16,Boys,2012,SANTA BARBARA,A,SANTA BARBARA,0.0
71,15,SD SHORE,18,Boys,2012,SD SHORES A,A,SD SHORE,0.0
72,16,CORONA DEL MAR,12,Boys,2012,CORONA DEL MAR,A,CORONA DEL MAR,0.0
73,16,SANTA BARBARA,14,Boys,2012,SANTA BARBARA,A,SANTA BARBARA,0.0
74,16,AMERICAN RIVER,16,Boys,2012,AMERICAN RIVER A,A,AMERICAN RIVER,0.0
75,16,HUNTINGTON BEACH,18,Boys,2012,HUNTINGTON BEACH,A,HUNTINGTON BEACH,0.0
76,17,NEWPORT BEACH,12,Boys,2012,NEWPORT BEACH BLUE,A,NEWPORT BEACH,0.0
77,17,SET,14,Boys,2012,SET,A,SET,0.0
78,17,LAMORINDA,16,Boys,2012,LAMORINDA BLUE A,A,LAMORINDA,0.0
79,17,SACRAMENTO,18,Boys,2012,SACRAMENTO BLACK,A,SACRAMENTO,0.0
80,18,680 DRIVER,12,Boys,2012,680 A DRIVER,A,680 DRIVER,0.0
81,18,SOUTH BAY UNITED,14,Boys,2012,SOUTH BAY UNITED,A,SOUTH BAY UNITED,0.0
82,18,SLEEPY HOLLOW SHAQ,16,Boys,2012,SLEEPY HOLLOW (SHAQ),A,SLEEPY HOLLOW SHAQ,0.0
83,18,CARLSBAD,18,Boys,2012,CARLSBAD,A,CARLSBAD,0.0
84,19,SOUTH BAY UNITED,12,Boys,2012,SOUTH BAY UNITED,A,SOUTH BAY UNITED,0.0
85,19,DAVI WPC,14,Boys,2012,DAVIS WPC,A,DAVI,0.0
86,19,CLOVI WPC,16,Boys,2012,CLOVIS WPC,A,CLOVI,0.0
87,19,PITTSBURGH,18,Boys,2012,PITTSBURGH,A,PITTSBURGH,0.0
88,20,GREENWICH AQUATIC,12,Boys,2012,GREENWICH AQUATICS,A,GREENWICH,0.0
89,20,SOUTH COAST,14,Boys,2012,SOUTH COAST,A,SOUTH COAST,0.0
90,20,SANTA CLARA,16,Boys,2012,SANTA CLARA A,A,SANTA CLARA,0.0
91,20,GULLIVER RIPTIDE,18,Boys,2012,GULLIVER RIPTIDES,A,GULLIVER RIPTIDE,0.0
92,21,TROJAN,12,Boys,2012,TROJAN,A,TROJAN,0.0
93,21,COMMERCE,14,Boys,2012,COMMERCE,A,COMMERCE,0.0
94,21,INTERNATIONAL,16,Boys,2012,INTERNATIONAL,A,INTERNATIONAL,0.0
95,21,SHORE AQUATIC,18,Boys,2012,SHORE AQUATICS,A,SHORE,0.0
96,22,ANTEATER,12,Boys,2012,ANTEATER,A,ANTEATER,0.0
97,22,DEL MAR WPC,14,Boys,2012,DEL MAR WPC,A,DEL MAR,0.0
98,22,SOUTH COAST,16,Boys,2012,SOUTH COAST,A,SOUTH COAST,0.0
99,22,LAWPC,18,Boys,2012,LAWPC WHITE,A,LAWPC,0.0
100,23,RIPON,12,Boys,2012,RIPON,A,RIPON,0.0
101,23,LAWPC,14,Boys,2012,LAWPC WHITE,A,LAWPC,0.0
102,23,GREENWICH WATER POLO,16,Boys,2012,GREENWICH WATER POLO,A,GREENWICH,0.0
103,23,THILL,18,Boys,2012,T-HILLS A,A,THILL,0.0
104,24,IRVINE KAHUNA,12,Boys,2012,IRVINE KAHUNA,A,IRVINE KAHUNA,0.0
105,24,SOUTH FLORIDA,14,Boys,2012,SOUTH FLORIDA,A,SOUTH FLORIDA,0.0
106,24,TM VEGAHENDERSON,16,Boys,2012,TM VEGAS/HENDERSON,A,TM VEGAHENDERSON,0.0
107,24,CHAWP,18,Boys,2012,CHAWP,A,CHAWP,0.0
108,25,FOOTHILL,12,Boys,2012,FOOTHILL,A,FOOTHILL,0.0
109,25,NEWPORT BEACH,14,Boys,2012,NEWPORT BEACH BLUE,A,NEWPORT BEACH,0.0
110,25,REGENCY WPC,16,Boys,2012,REGENCY WPC,A,REGENCY,0.0
111,25,680,18,Boys,2012,680 A,A,680,0.0
112,26,STANFORD,12,Boys,2012,STANFORD A,A,STANFORD,0.0
113,26,CHAWP,14,Boys,2012,CHAWP,A,CHAWP,0.0
114,26,CARLSBAD,16,Boys,2012,CARLSBAD,A,CARLSBAD,0.0
115,26,SOUTH COAST,18,Boys,2012,SOUTH COAST,A,SOUTH COAST,0.0
116,27,LAWPC,12,Boys,2012,LAWPC,A,LAWPC,0.0
117,27,STANFORD,14,Boys,2012,STANFORD B,B,STANFORD,0.0
118,27,COMMERCE,16,Boys,2012,COMMERCE,A,COMMERCE,0.0
119,27,LAMORINDA,18,Boys,2012,LAMORINDA B,B,LAMORINDA,0.0
120,28,TM VEGAHENDERSON,12,Boys,2012,TM VEGAS/HENDERSON,A,TM VEGAHENDERSON,0.0
121,28,CC SHARK,14,Boys,2012,CC SHARKS,A,CC SHARK,0.0
122,28,680,16,Boys,2012,680 A,A,680,0.0
123,28,STOCKTON WPC,18,Boys,2012,STOCKTON WPC,A,STOCKTON,0.0
124,29,CC UNITED,12,Boys,2012,CC UNITED,A,CC UNITED,0.0
125,29,CLOVI WPC,14,Boys,2012,CLOVIS WPC,A,CLOVI,0.0
126,29,LA JOLLA WP,16,Boys,2012,LA JOLLA WP,A,LA JOLLA,0.0
127,29,CHEHLAEMWP,18,Boys,2012,CHEHLAEMWP,A,CHEHLAEMWP,0.0
128,30,SET,12,Boys,2012,SET,A,SET,0.0
129,30,OLIMPIKIAN ORWP,14,Boys,2012,OLIMPIKIAN (ORWP),A,OLIMPIKIAN ORWP,0.0
130,30,SACRAMENTO,16,Boys,2012,SACRAMENTO BLACK,A,SACRAMENTO,0.0
131,30,GREENWICH WATER POLO,18,Boys,2012,GREENWICH WATER POLO,A,GREENWICH,0.0
132,31,SHORE AQUATIC,12,Boys,2012,SHORE AQUATICS,A,SHORE,0.0
133,31,LODI WPC,14,Boys,2012,LODI WPC,A,LODI,0.0
134,31,GREENWICH AQUATIC,16,Boys,2012,GREENWICH AQUATICS,A,GREENWICH,0.0
135,31,STANFORD,18,Boys,2012,STANFORD B,B,STANFORD,0.0
136,32,VC PREMIER,12,Boys,2012,VC PREMIER,A,VC PREMIER,0.0
137,32,STOCKTON WPC,14,Boys,2012,STOCKTON WPC,A,STOCKTON,0.0
138,32,ATWATERMERCED,16,Boys,2012,ATWATER/MERCED,A,ATWATERMERCED,0.0
139,32,INTERNATIONAL,18,Boys,2012,INTERNATIONAL RED,A,INTERNATIONAL,0.0
140,33,BAKERSFIELD,12,Boys,2012,BAKERSFIELD,A,BAKERSFIELD,0.0
141,33,SCOT WATER POLO,14,Boys,2012,SCOTS WATER POLO,A,SCOT,0.0
142,33,LAMORINDA,16,Boys,2012,LAMORINDA GOLD C,C,LAMORINDA,0.0
143,33,DAVI WPC,18,Boys,2012,DAVIS WPC,A,DAVI,0.0
144,34,WEST COAST AQUATIC,12,Boys,2012,WEST COAST AQUATICS,A,WEST COAST,0.0
145,34,LAMORINDA,14,Boys,2012,LAMORINDA B,B,LAMORINDA,0.0
146,34,RAIDER WP,16,Boys,2012,RAIDER WP,A,RAIDER,0.0
147,34,WINDY CITY,18,Boys,2012,WINDY CITY,A,WINDY CITY,0.0
148,35,GREENWICH WATER POLO,12,Boys,2012,GREENWICH WATER POLO,A,GREENWICH,0.0
149,35,BURLINGAME AQUATIC,14,Boys,2012,BURLINGAME AQUATICS,A,BURLINGAME,0.0
150,35,KEARN,16,Boys,2012,KEARNS,A,KEARN,0.0
151,35,WEST VALLEY,18,Boys,2012,WEST VALLEY A,A,WEST VALLEY,0.0
152,36,CARLSBAD,12,Boys,2012,CARLSBAD,A,CARLSBAD,0.0
153,36,GREENWICH WATER POL,14,Boys,2012,GREENWICH WATER POL,A,GREENWICH WATER,0.0
154,36,WEST SUBURBAN WP,16,Boys,2012,WEST SUBURBAN WP,A,WEST SUBURBAN,0.0
155,36,FLO WPC,18,Boys,2012,FLO WPC,A,FLO,0.0
156,37,PACIFIC POLO,12,Boys,2012,PACIFIC POLO,A,PACIFIC,0.0
157,37,PACIFIC POLO,14,Boys,2012,PACIFIC POLO,A,PACIFIC,0.0
158,37,MAD DOG,16,Boys,2012,MAD DOG,A,MAD DOG,0.0
159,37,ORWP,18,Boys,2012,ORWP,A,ORWP,0.0
160,38,DEL MAR WPC,12,Boys,2012,DEL MAR WPC,A,DEL MAR,0.0
161,38,NSD STAR,14,Boys,2012,NSD STARS,A,NSD STAR,0.0
162,38,TIGER AQUATIC,16,Boys,2012,TIGER AQUATICS,A,TIGER,0.0
163,38,NSD STAR,18,Boys,2012,NSD STARS,A,NSD STAR,0.0
164,39,MID VALLEY,12,Boys,2012,MID VALLEY,A,MID VALLEY,0.0
165,39,DACA,14,Boys,2012,DACA A,A,DACA,0.0
166,39,GULLIVER RIPTIDE,16,Boys,2012,GULLIVER RIPTIDES,A,GULLIVER RIPTIDE,0.0
167,39,TIGER AQUATIC,18,Boys,2012,TIGER AQUATICS,A,TIGER,0.0
168,40,DAVI WPC,12,Boys,2012,DAVIS WPC,A,DAVI,0.0
169,40,AMERICAN RIVER,14,Boys,2012,AMERICAN RIVER,A,AMERICAN RIVER,0.0
170,40,RAIN CITY,16,Boys,2012,RAIN CITY,A,RAIN CITY,0.0
171,40,VIPER PIGEON,18,Boys,2012,VIPER PIGEON GREEN,A,VIPER PIGEON,0.0
172,41,AMERICAN RIVER,12,Boys,2012,AMERICAN RIVER,A,AMERICAN RIVER,0.0
173,41,BAKERSFIELD,14,Boys,2012,BAKERSFIELD,A,BAKERSFIELD,0.0
174,41,ROCKFORD,16,Boys,2012,ROCKFORD,A,ROCKFORD,0.0
175,41,MAD DOG,18,Boys,2012,MAD DOG,A,MAD DOG,0.0
176,42,PITTSBURGH,12,Boys,2012,PITTSBURGH,A,PITTSBURGH,0.0
177,42,RAIN CITY WP,14,Boys,2012,RAIN CITY WP,A,RAIN CITY,0.0
178,42,THUNDER,16,Boys,2012,THUNDER BLACK,A,THUNDER,0.0
179,42,NORTH DALLA SPARTAN,18,Boys,2012,NORTH DALLAS SPARTANS,A,NORTH DALLA SPARTAN,0.0
180,43,STANFORD,12,Boys,2012,STANFORD B,B,STANFORD,0.0
181,43,THUNDER WP,14,Boys,2012,THUNDER WP,A,THUNDER,0.0
182,43,TUALATIN HILL WPC,16,Boys,2012,TUALATIN HILLS WPC,A,TUALATIN HILL,0.0
183,43,SCOT WP,18,Boys,2012,SCOTS WP,A,SCOT,0.0
184,44,680 DRIVER,12,Boys,2012,680 B DRIVER,B,680 DRIVER,0.0
185,44,COLORADO WP,14,Boys,2012,COLORADO WP,A,COLORADO,0.0
186,44,CHICAGO PARK DISTRICT,16,Boys,2012,CHICAGO PARK DISTRICT,A,CHICAGO PARK DISTRICT,0.0
187,44,PNW SHORE,18,Boys,2012,PNW SHORES,A,PNW SHORE,0.0
188,45,VIPER PIGEON,12,Boys,2012,VIPER PIGEONS GREEN,A,VIPER PIGEON,0.0
189,45,Y PRO,14,Boys,2012,Y PRO,A,Y PRO,0.0
190,45,VIPER PIGEON,16,Boys,2012,VIPER PIGEON GREEN,A,VIPER PIGEON,0.0
191,45,ROCKFORD,18,Boys,2012,ROCKFORD,A,ROCKFORD,0.0
192,46,THUNDER WATER POLO,12,Boys,2012,THUNDER WATER POLO,A,THUNDER,0.0
193,46,LYON,14,Boys,2012,LYONS,A,LYON,0.0
194,46,AMERICAN RIVER,16,Boys,2012,AMERICAN RIVER B,B,AMERICAN RIVER,0.0
195,46,CHICAGO PARK DISTRICT,18,Boys,2012,CHICAGO PARK DISTRICT,A,CHICAGO PARK DISTRICT,0.0
196,47,LAMORINDA,12,Boys,2012,LAMORINDA B,B,LAMORINDA,0.0
197,47,VIPER PIGEON,14,Boys,2012,VIPER PIGEON GREEN,A,VIPER PIGEON,0.0
198,47,NORTH DALLA SPARTAN,16,Boys,2012,NORTH DALLAS SPARTAN,A,NORTH DALLA SPARTAN,0.0
199,47,RAIDER WP,18,Boys,2012,RAIDER WP,A,RAIDER,0.0
200,48,ROCKY MOUNTAIN NEPTUNE,12,Boys,2012,ROCKY MOUNTAIN NEPTUNES,A,ROCKY MOUNTAIN NEPTUNE,0.0
201,48,RAIDER,14,Boys,2012,RAIDERS,A,RAIDER,0.0
202,48,DUKE CITY,16,Boys,2012,DUKE CITY,A,DUKE CITY,0.0
203,48,THUNDER,18,Boys,2012,THUNDER BLACK,A,THUNDER,0.0
204,49,UNITED,14,Boys,2012,UNITED WHITE,A,UNITED,0.0
205,49,SOCAL,16,Boys,2012,SOCAL GOLD,A,SOCAL,0.0
206,49,COMMERCE,18,Boys,2012,COMMERCE,A,COMMERCE,0.0
207,50,SHORE AQUATIC,14,Boys,2012,SHORE AQUATICS,A,SHORE,0.0
208,50,STANFORD,16,Boys,2012,STANFORD B,B,STANFORD,0.0
209,50,ORCUTT POLO,18,Boys,2012,ORCUTT POLO,A,ORCUTT,0.0
210,51,CDM,14,Boys,2012,CDM,A,CDM,0.0
211,51,HUNTINGTON BEACH,16,Boys,2012,HUNTINGTON BEACH,A,HUNTINGTON BEACH,0.0
212,51,PALO VERDE WPC,18,Boys,2012,PALOS VERDES WPC,A,PALO VERDE,0.0
213,52,IRVINE KAHUNA,14,Boys,2012,IRVINE KAHUNA,A,IRVINE KAHUNA,0.0
214,52,TROJAN WPC,16,Boys,2012,TROJAN WPC,A,TROJAN,0.0
215,52,CC UNITED,18,Boys,2012,CC UNITED,A,CC UNITED,0.0
216,53,SOCAL,14,Boys,2012,SOCAL GOLD,A,SOCAL,0.0
217,53,SOUTH BAY PENNINSULA,16,Boys,2012,SOUTH BAY PENNINSULA,A,SOUTH BAY PENNINSULA,0.0
218,53,SCRIPP,18,Boys,2012,SCRIPPS,A,SCRIPP,0.0
219,54,CC UNITED,14,Boys,2012,CC UNITED,A,CC UNITED,0.0
220,54,ARROYO GRANDE,16,Boys,2012,ARROYO GRANDE A,A,ARROYO GRANDE,0.0
221,54,SD SHORE,18,Boys,2012,SD SHORES B,B,SD SHORE,0.0
222,55,SD SHORE,14,Boys,2012,SD SHORES B,B,SD SHORE,0.0
223,55,XTREME,16,Boys,2012,XTREME,A,XTREME,0.0
224,55,SOUTH BAY PENNINSULA,18,Boys,2012,SOUTH BAY PENNINSULA,A,SOUTH BAY PENNINSULA,0.0
225,56,TROJAN,14,Boys,2012,TROJAN,A,TROJAN,0.0
226,56,WEST VALLEY,16,Boys,2012,WEST VALLEY A,A,WEST VALLEY,0.0
227,56,GOLDEN STATE,18,Boys,2012,GOLDEN STATE A,A,GOLDEN STATE,0.0
228,57,HB,14,Boys,2012,HB ORANGE,A,HB,0.0
229,57,STOCKTON,16,Boys,2012,STOCKTON,A,STOCKTON,0.0
230,57,ARROYO GRANDE,18,Boys,2012,ARROYO GRANDE A,A,ARROYO GRANDE,0.0
231,58,CARLSBAD,14,Boys,2012,CARLSBAD,A,CARLSBAD,0.0
232,58,CHAWP,16,Boys,2012,CHAWP BLUE,A,CHAWP,0.0
233,58,MARIN,18,Boys,2012,MARIN,A,MARIN,0.0
234,59,ANTEATER,14,Boys,2012,ANTEATER,A,ANTEATER,0.0
235,59,CDM,16,Boys,2012,CDM,A,CDM,0.0
236,59,BUENA WATER POLO,18,Boys,2012,BUENA WATER POLO,A,BUENA,0.0
237,60,PALO VERDE WPC,14,Boys,2012,PALOS VERDES WPC,A,PALO VERDE,0.0
238,60,FLO WPC,16,Boys,2012,FLO WPC,A,FLO,0.0
239,60,SHAQ,18,Boys,2012,SHAQ,A,SHAQ,0.0
240,61,SHORE SOLANA,14,Boys,2012,SHORES SOLANA,A,SHORE SOLANA,0.0
241,61,LAWPC,16,Boys,2012,LAWPC WHITE,A,LAWPC,0.0
242,61,NORTHWOOD,18,Boys,2012,NORTHWOOD,A,NORTHWOOD,0.0
243,62,BUENA,14,Boys,2012,BUENA,A,BUENA,0.0
244,62,NEWPORT BEACH INC,16,Boys,2012,NEWPORT BEACH INC. BLUE,A,NEWPORT BEACH,0.0
245,62,BAKERSFIELD,18,Boys,2012,BAKERSFIELD,A,BAKERSFIELD,0.0
246,63,SHAQ,14,Boys,2012,SHAQ,A,SHAQ,0.0
247,63,LAMORINDA,16,Boys,2012,LAMORINDA BLACK B,B,LAMORINDA,0.0
248,63,ELITE,18,Boys,2012,ELITE,A,ELITE,0.0
249,64,SANTA BARBARA,14,Boys,2012,SANTA BARBARA B,B,SANTA BARBARA,0.0
250,64,ORCUTT POLO,16,Boys,2012,ORCUTT POLO,A,ORCUTT,0.0
251,64,INTERNATIONAL,18,Boys,2012,INTERNATIONAL BLUE,A,INTERNATIONAL,0.0
252,65,CLOVI,14,Boys,2012,CLOVIS B,B,CLOVI,0.0
253,65,SOUTH BAY UNITED,16,Boys,2012,SOUTH BAY UNITED BLACK,A,SOUTH BAY UNITED,0.0
254,65,JUNGLE CAT,18,Boys,2012,JUNGLE CATS,A,JUNGLE CAT,0.0
255,66,TIGER AQUATIC,14,Boys,2012,TIGER AQUATICS,A,TIGER,0.0
256,66,LODI,16,Boys,2012,LODI,A,LODI,0.0
257,66,EMPIRE,18,Boys,2012,EMPIRE,A,EMPIRE,0.0
258,67,680,14,Boys,2012,680 B,B,680,0.0
259,67,A2 WPC,16,Boys,2012,A2 WPC,A,A2,0.0
260,67,616 WPC,18,Boys,2012,616 WPC,A,616,0.0
261,68,SACRAMENTO,14,Boys,2012,SACRAMENTO BLACK,A,SACRAMENTO,0.0
262,68,JUNGLE CAT,16,Boys,2012,JUNGLE CATS,A,JUNGLE CAT,0.0
263,68,OC RIPTIDE,18,Boys,2012,OC RIPTIDE,A,OC RIPTIDE,0.0
264,69,LA JOLLA,14,Boys,2012,LA JOLLA,A,LA JOLLA,0.0
265,69,KAHUNA,16,Boys,2012,KAHUNA,A,KAHUNA,0.0
266,69,ANN ARBOR,18,Boys,2012,ANN ARBOR,A,ANN ARBOR,0.0
267,70,MODESTOSTANISLAU,14,Boys,2012,MODESTO/STANISLAUS,A,MODESTOSTANISLAU,0.0
268,70,NOTHERN ELITE,16,Boys,2012,NOTHERN ELITE,A,NOTHERN ELITE,0.0
269,70,101 WPC,18,Boys,2012,101 WPC,A,101,0.0
270,71,LAMORINDA,14,Boys,2012,LAMORINDA C,C,LAMORINDA,0.0
271,71,SD SHORE,16,Boys,2012,SD SHORES B,B,SD SHORE,0.0
272,71,AMERICAN RIVER,18,Boys,2012,AMERICAN RIVER B,B,AMERICAN RIVER,0.0
273,72,SACRAMENTO,14,Boys,2012,SACRAMENTO ORANGE,A,SACRAMENTO,0.0
274,72,LYON,16,Boys,2012,LYONS,A,LYON,0.0
275,72,EASTVALE,18,Boys,2012,EASTVALE,A,EASTVALE,0.0
276,73,FOOTHILL,16,Boys,2012,FOOTHILL BLACK,A,FOOTHILL,0.0
277,73,DESERT AQUATIC,18,Boys,2012,DESERT AQUATICS,A,DESERT,0.0
278,74,WEST COAST AQAUTIC,16,Boys,2012,WEST COAST AQAUTICS,A,WEST COAST AQAUTIC,0.0
279,74,SANTA CLARA,18,Boys,2012,SANTA CLARA B,B,SANTA CLARA,0.0
280,75,PACIFIC POLO,16,Boys,2012,PACIFIC POLO,A,PACIFIC,0.0
281,75,SOAK,18,Boys,2012,SOAK,A,SOAK,0.0
282,76,680,16,Boys,2012,680 B,B,680,0.0
283,76,WEST VALLEY,18,Boys,2012,WEST VALLEY B,B,WEST VALLEY,0.0
284,77,MID VALLEY,16,Boys,2012,MID VALLEY,A,MID VALLEY,0.0
285,77,ESCONDIDO RIPTIDE,18,Boys,2012,ESCONDIDO RIPTIDES,A,ESCONDIDO RIPTIDE,0.0
286,78,NSD STAR,16,Boys,2012,NSD STARS,A,NSD STAR,0.0
287,78,THILL,18,Boys,2012,T-HILLS B,B,THILL,0.0
288,79,MODESTOSTANISLAU,16,Boys,2012,MODESTO/STANISLAUS,A,MODESTOSTANISLAU,0.0
289,79,ORCA,18,Boys,2012,ORCA,A,ORCA,0.0
290,80,SCRIPP WPC,16,Boys,2012,SCRIPPS WPC,A,SCRIPP,0.0
291,80,NIPC,18,Boys,2012,NIPC,A,NIPC,0.0
292,81,DAVI,16,Boys,2012,DAVIS,A,DAVI,0.0
293,81,MODESTOSTANISLAU,18,Boys,2012,MODESTO/STANISLAUS,A,MODESTOSTANISLAU,0.0
294,82,SACRAMENTO,16,Boys,2012,SACRAMENTO ORANGE,A,SACRAMENTO,0.0
295,82,SACRAMENTO,18,Boys,2012,SACRAMENTO ORANGE,A,SACRAMENTO,0.0
296,83,NIPC,16,Boys,2012,NIPC,A,NIPC,0.0
297,83,AVENGER WP,18,Boys,2012,AVENGERS WP,A,AVENGER,0.0
298,84,VIPER PIGEON,16,Boys,2012,VIPER PIGEONS BLACK,A,VIPER PIGEON,0.0
299,84,VIPER PIGEON,18,Boys,2012,VIPER PIGEONS BLACK,A,VIPER PIGEON,0.0
0,1,COMMERCE AQUATIC,10,Girls,2013,COMMERCE AQUATICS,A,COMMERCE,0.0
1,1,UNITED WATER POLO CLUB,12,Boys,2013,UNITED WATER POLO CLUB - BLUE,A,UNITED,0.0
